BrukerID,Kjonn,Alder,Jobb,Postkode
67,,45.0,2.0,1545.0
68,1.0,35.0,17.0,93436.0
69,1.0,50.0,7.0,60510.0
70,1.0,45.0,,92111.0
71,1.0,50.0,,48105.0
72,1.0,35.0,11.0,73120.0
73,0.0,18.0,0.0,75115.0
74,1.0,25.0,0.0,2131.0
75,1.0,35.0,8.0,98674.0
76,1.0,25.0,1.0,40006.0
77,0.0,35.0,5.0,2021.0
78,1.0,45.0,0.0,92626.0
79,0.0,35.0,,97068.0
80,1.0,25.0,7.0,63366.0
81,0.0,,3.0,38134.0
82,1.0,,4.0,29649.0
83,1.0,,20.0,10010.0
84,1.0,25.0,17.0,19801.0
85,1.0,,6.0,37923.0
86,0.0,50.0,4.0,96825.0
87,0.0,,2.0,53523.0
88,0.0,50.0,7.0,94949.0
89,1.0,35.0,2.0,90292.0
90,1.0,,5.0,80209.0
91,,1.0,10.0,3608.0
92,0.0,18.0,,90038.0
93,1.0,35.0,1.0,19149.0
94,0.0,45.0,12.0,95402.0
95,1.0,35.0,2.0,98055.0
96,1.0,,12.0,90278.0
97,1.0,18.0,15.0,94606.0
98,1.0,25.0,0.0,10003.0
99,1.0,45.0,1.0,80634.0
100,0.0,25.0,19.0,60201.0
101,1.0,,16.0,29464.0
102,0.0,18.0,4.0,63332.0
103,1.0,35.0,1.0,23185.0
104,,35.0,3.0,55405.0
105,1.0,56.0,17.0,6405.0
106,0.0,,5.0,47129.0
107,1.0,25.0,0.0,10021.0
108,1.0,,7.0,74401.0
109,1.0,,1.0,14260.0
110,1.0,35.0,14.0,
111,1.0,25.0,14.0,98103.0
112,1.0,35.0,15.0,1775.0
113,1.0,45.0,16.0,92018.0
114,0.0,18.0,4.0,14620.0
115,0.0,18.0,4.0,30010.0
116,1.0,18.0,4.0,32606.0
117,,18.0,4.0,
118,,18.0,,49445.0
119,0.0,18.0,1.0,45458.0
120,1.0,25.0,2.0,43202.0
121,1.0,50.0,1.0,88001.0
122,1.0,25.0,4.0,43138.0
123,1.0,35.0,7.0,91302.0
124,1.0,50.0,16.0,92129.0
125,1.0,,7.0,77005.0
126,1.0,25.0,0.0,7040.0
127,1.0,56.0,20.0,91030.0
128,1.0,50.0,7.0,40601.0
129,1.0,25.0,1.0,19335.0
130,1.0,,2.0,21202.0
131,0.0,25.0,7.0,75093.0
132,1.0,25.0,,78730.0
133,0.0,35.0,,8043.0
134,1.0,35.0,7.0,55413.0
135,1.0,56.0,99.0,92065.0
136,1.0,25.0,17.0,43201.0
137,0.0,35.0,6.0,97838.0
138,0.0,35.0,0.0,
139,1.0,,,33134.0
140,1.0,1.0,10.0,75040.0
141,0.0,1.0,10.0,10706.0
142,1.0,25.0,16.0,21203.0
143,1.0,,13.0,85749.0
144,0.0,,3.0,1770.0
145,0.0,25.0,0.0,19063.0
146,1.0,18.0,12.0,97205.0
147,0.0,45.0,1.0,12449.0
148,1.0,18.0,17.0,99205.0
149,1.0,50.0,7.0,80004.0
150,0.0,25.0,7.0,55122.0
151,0.0,25.0,,94117.0
152,1.0,18.0,10.0,11235.0
153,1.0,25.0,,48473.0
154,1.0,56.0,13.0,13407.0
155,1.0,35.0,7.0,
156,0.0,25.0,15.0,64116.0
157,0.0,18.0,4.0,30134.0
158,1.0,18.0,4.0,43214.0
159,1.0,50.0,11.0,48823.0
160,0.0,25.0,11.0,10022.0
161,1.0,35.0,7.0,
162,0.0,35.0,12.0,45249.0
163,0.0,,15.0,91902.0
164,0.0,25.0,12.0,
165,0.0,35.0,19.0,75069.0
166,1.0,25.0,14.0,22205.0
167,0.0,45.0,12.0,8033.0
168,1.0,25.0,6.0,53211.0
169,1.0,25.0,,97333.0
170,1.0,,20.0,94530.0
171,1.0,18.0,,
172,0.0,,,2115.0
173,0.0,,4.0,60137.0
174,0.0,18.0,4.0,95076.0
175,1.0,25.0,12.0,27707.0
176,1.0,25.0,12.0,94608.0
177,0.0,18.0,2.0,
178,0.0,25.0,7.0,78703.0
179,1.0,18.0,4.0,78749.0
180,1.0,,1.0,43026.0
181,0.0,35.0,,55410.0
182,1.0,,1.0,44303.0
183,1.0,45.0,17.0,40515.0
184,,35.0,11.0,20895.0
185,1.0,50.0,,48104.0
186,1.0,25.0,,55421.0
187,1.0,35.0,99.0,53403.0
188,1.0,45.0,1.0,2135.0
189,1.0,45.0,7.0,2081.0
190,1.0,25.0,4.0,22903.0
191,1.0,18.0,,48104.0
192,1.0,,10.0,95926.0
193,0.0,25.0,1.0,97225.0
194,0.0,18.0,0.0,55414.0
195,0.0,,4.0,58495.0
196,1.0,35.0,11.0,98443.0
197,,25.0,7.0,10003.0
198,1.0,25.0,15.0,92557.0
199,0.0,25.0,7.0,37206.0
200,1.0,,17.0,
201,1.0,18.0,4.0,37130.0
202,0.0,35.0,7.0,33547.0
203,1.0,35.0,17.0,95476.0
204,1.0,25.0,20.0,
205,,,14.0,74012.0
207,0.0,25.0,7.0,78232.0
208,0.0,25.0,4.0,48042.0
209,0.0,18.0,4.0,90024.0
210,1.0,35.0,14.0,89119.0
211,1.0,,2.0,2066.0
212,1.0,35.0,0.0,2108.0
213,0.0,56.0,0.0,95062.0
214,0.0,,9.0,
215,0.0,25.0,1.0,98027.0
216,1.0,35.0,17.0,97124.0
217,1.0,18.0,12.0,55076.0
218,1.0,45.0,3.0,90006.0
219,1.0,18.0,4.0,60073.0
220,1.0,18.0,4.0,94704.0
221,1.0,25.0,4.0,22901.0
222,1.0,25.0,12.0,19067.0
223,1.0,1.0,19.0,15748.0
224,0.0,18.0,4.0,55455.0
225,1.0,25.0,7.0,2150.0
226,,25.0,2.0,10028.0
227,,25.0,12.0,91910.0
228,1.0,,7.0,94501.0
229,1.0,,4.0,43210.0
230,1.0,25.0,,45233.0
231,1.0,25.0,14.0,55391.0
232,0.0,56.0,3.0,30127.0
233,1.0,35.0,0.0,98368.0
234,1.0,35.0,4.0,45205.0
235,0.0,45.0,1.0,15208.0
236,0.0,18.0,4.0,48433.0
237,1.0,35.0,7.0,10001.0
238,1.0,35.0,7.0,
239,,25.0,5.0,46254.0
240,1.0,18.0,0.0,15237.0
241,0.0,,1.0,80210.0
242,0.0,35.0,3.0,11229.0
243,0.0,56.0,,94970.0
244,1.0,25.0,4.0,27514.0
245,1.0,45.0,,60462.0
246,1.0,50.0,,2090.0
247,1.0,18.0,20.0,22203.0
248,0.0,18.0,0.0,
249,1.0,,2.0,10023.0
250,1.0,18.0,20.0,76135.0
251,1.0,25.0,7.0,68164.0
252,1.0,18.0,4.0,43235.0
253,1.0,56.0,17.0,23464.0
254,0.0,45.0,0.0,
255,1.0,,12.0,2115.0
256,0.0,45.0,16.0,97215.0
257,0.0,,4.0,53715.0
258,1.0,25.0,17.0,27707.0
259,0.0,35.0,,85258.0
260,1.0,25.0,0.0,52556.0
261,0.0,18.0,4.0,98052.0
262,0.0,45.0,12.0,15801.0
263,1.0,35.0,13.0,62035.0
264,0.0,18.0,4.0,95616.0
265,1.0,56.0,0.0,27705.0
266,0.0,25.0,,2138.0
267,,25.0,17.0,19711.0
268,1.0,25.0,5.0,46239.0
269,1.0,18.0,,38120.0
270,1.0,35.0,14.0,78611.0
271,1.0,,10.0,98043.0
272,0.0,18.0,20.0,45220.0
273,1.0,35.0,6.0,80917.0
274,1.0,,15.0,2446.0
275,1.0,,,91344.0
276,1.0,25.0,7.0,91344.0
277,1.0,35.0,7.0,
278,0.0,56.0,,21114.0
279,1.0,18.0,17.0,6040.0
280,1.0,25.0,,95616.0
281,1.0,56.0,7.0,21773.0
282,1.0,,4.0,92173.0
283,1.0,56.0,7.0,55042.0
284,,25.0,3.0,85018.0
285,1.0,,16.0,78411.0
286,0.0,35.0,20.0,66205.0
287,0.0,18.0,3.0,95825.0
288,1.0,45.0,,
289,0.0,,,53538.0
290,1.0,50.0,18.0,95472.0
291,1.0,45.0,6.0,78750.0
292,0.0,45.0,0.0,55419.0
293,1.0,50.0,20.0,98119.0
294,0.0,,13.0,2136.0
295,1.0,,15.0,12203.0
296,1.0,25.0,19.0,94607.0
297,0.0,25.0,0.0,
298,1.0,,7.0,94127.0
299,1.0,,10.0,12701.0
300,1.0,,6.0,8108.0
301,1.0,35.0,14.0,
302,1.0,56.0,7.0,92065.0
303,1.0,45.0,16.0,1880.0
304,0.0,35.0,7.0,55111.0
305,1.0,56.0,,1886.0
306,1.0,18.0,0.0,49506.0
307,1.0,,12.0,55105.0
308,0.0,18.0,2.0,72701.0
309,0.0,18.0,4.0,43403.0
310,1.0,25.0,14.0,70005.0
311,1.0,18.0,4.0,72212.0
312,1.0,,,84102.0
313,1.0,35.0,5.0,92867.0
314,1.0,25.0,14.0,19444.0
315,1.0,35.0,0.0,97225.0
316,0.0,,,60302.0
317,0.0,45.0,4.0,15232.0
318,0.0,35.0,20.0,93449.0
319,0.0,56.0,13.0,3261.0
320,0.0,25.0,15.0,55455.0
321,1.0,45.0,0.0,24541.0
322,1.0,50.0,19.0,59457.0
323,,35.0,3.0,95405.0
324,0.0,,6.0,60031.0
325,1.0,25.0,20.0,93637.0
326,1.0,35.0,0.0,34990.0
327,1.0,35.0,6.0,45011.0
328,1.0,35.0,15.0,94002.0
329,1.0,25.0,0.0,3755.0
330,0.0,25.0,15.0,15213.0
331,1.0,35.0,7.0,19610.0
332,1.0,18.0,20.0,94608.0
333,1.0,1.0,10.0,
334,1.0,25.0,2.0,66044.0
335,1.0,35.0,14.0,48217.0
336,0.0,35.0,4.0,48103.0
337,0.0,35.0,17.0,30096.0
338,0.0,,0.0,46234.0
339,0.0,,13.0,94931.0
340,1.0,25.0,17.0,95050.0
341,1.0,25.0,2.0,32118.0
342,1.0,,11.0,
343,0.0,50.0,9.0,76034.0
344,0.0,45.0,20.0,75214.0
345,1.0,56.0,2.0,90680.0
346,1.0,,5.0,10128.0
347,1.0,35.0,20.0,78664.0
348,,,12.0,55106.0
349,0.0,35.0,,80525.0
350,0.0,35.0,2.0,80012.0
351,1.0,25.0,16.0,
352,,25.0,15.0,92121.0
353,,25.0,7.0,30620.0
354,1.0,50.0,17.0,48197.0
355,1.0,,12.0,20850.0
356,0.0,25.0,6.0,94132.0
357,1.0,25.0,4.0,2140.0
358,1.0,45.0,5.0,31901.0
359,1.0,56.0,6.0,77096.0
360,1.0,,14.0,14221.0
361,0.0,,4.0,48104.0
362,0.0,25.0,2.0,90066.0
363,1.0,25.0,17.0,92584.0
364,1.0,25.0,17.0,95035.0
365,0.0,1.0,1.0,90802.0
366,0.0,50.0,0.0,20004.0
367,1.0,25.0,,20008.0
368,0.0,1.0,,6074.0
369,1.0,35.0,17.0,20151.0
370,0.0,25.0,16.0,45750.0
371,1.0,18.0,4.0,13655.0
372,1.0,25.0,0.0,60618.0
373,0.0,25.0,2.0,55106.0
374,,,14.0,7458.0
375,1.0,25.0,17.0,27408.0
376,0.0,45.0,6.0,2453.0
377,1.0,18.0,12.0,80526.0
378,1.0,35.0,1.0,98502.0
379,1.0,,20.0,92649.0
380,1.0,18.0,20.0,12222.0
381,0.0,18.0,4.0,44425.0
382,1.0,25.0,7.0,33916.0
383,0.0,56.0,0.0,38340.0
384,0.0,25.0,,66049.0
385,,25.0,4.0,44514.0
386,1.0,25.0,4.0,6511.0
387,1.0,56.0,13.0,1742.0
388,1.0,18.0,19.0,75602.0
389,1.0,25.0,7.0,10016.0
390,0.0,25.0,6.0,22923.0
391,1.0,25.0,7.0,91423.0
392,0.0,25.0,0.0,94703.0
393,1.0,18.0,12.0,
394,1.0,18.0,4.0,94945.0
395,1.0,25.0,0.0,90069.0
396,1.0,18.0,12.0,55105.0
397,1.0,,17.0,55423.0
398,1.0,25.0,4.0,90210.0
399,0.0,,4.0,48103.0
400,1.0,18.0,12.0,2143.0
401,1.0,18.0,12.0,55109.0
402,1.0,25.0,7.0,34695.0
403,1.0,25.0,20.0,91740.0
404,1.0,,16.0,67204.0
405,1.0,25.0,4.0,53703.0
406,1.0,35.0,16.0,46214.0
407,1.0,35.0,0.0,94610.0
408,,50.0,14.0,95823.0
409,1.0,18.0,4.0,48104.0
410,1.0,,2.0,10040.0
411,1.0,25.0,14.0,33133.0
412,1.0,,7.0,40505.0
413,1.0,25.0,18.0,54915.0
414,1.0,1.0,4.0,46311.0
415,1.0,25.0,20.0,2048.0
416,1.0,18.0,12.0,10027.0
417,0.0,18.0,0.0,64030.0
418,1.0,,,24060.0
419,0.0,,16.0,2472.0
420,1.0,18.0,4.0,97266.0
421,1.0,25.0,4.0,94107.0
422,1.0,50.0,,
423,1.0,18.0,4.0,78705.0
424,0.0,1.0,,14850.0
425,1.0,18.0,6.0,30064.0
426,1.0,,4.0,48105.0
427,1.0,25.0,0.0,19106.0
428,,45.0,14.0,22901.0
429,1.0,,20.0,60440.0
430,0.0,25.0,1.0,26542.0
431,1.0,25.0,12.0,21045.0
432,0.0,35.0,9.0,46077.0
433,0.0,18.0,1.0,60640.0
434,1.0,25.0,,99163.0
435,1.0,25.0,2.0,95831.0
436,1.0,25.0,17.0,60607.0
437,1.0,25.0,0.0,84119.0
438,0.0,35.0,7.0,98074.0
439,1.0,56.0,20.0,92315.0
440,1.0,,15.0,77047.0
441,,,14.0,95746.0
442,1.0,25.0,14.0,74114.0
443,1.0,25.0,16.0,97209.0
444,1.0,,17.0,33785.0
445,1.0,25.0,6.0,55439.0
446,0.0,50.0,20.0,95503.0
447,1.0,18.0,,53211.0
448,1.0,25.0,4.0,70003.0
449,0.0,25.0,7.0,92122.0
450,1.0,50.0,1.0,27705.0
451,1.0,18.0,4.0,92802.0
452,1.0,35.0,20.0,92308.0
453,1.0,35.0,4.0,98125.0
454,1.0,35.0,2.0,62263.0
455,1.0,50.0,0.0,66048.0
456,1.0,25.0,17.0,92882.0
457,1.0,56.0,13.0,90503.0
458,1.0,25.0,,32118.0
459,1.0,25.0,4.0,66762.0
460,1.0,35.0,15.0,33167.0
461,0.0,56.0,13.0,90732.0
462,0.0,25.0,7.0,22304.0
463,0.0,25.0,,97401.0
464,1.0,18.0,4.0,55455.0
465,1.0,56.0,13.0,92660.0
466,1.0,18.0,,90025.0
467,1.0,18.0,19.0,98126.0
468,0.0,50.0,3.0,33615.0
469,1.0,25.0,17.0,95926.0
470,1.0,18.0,4.0,22201.0
471,1.0,35.0,14.0,48328.0
472,0.0,25.0,,98133.0
473,0.0,18.0,4.0,64151.0
474,1.0,,16.0,2139.0
475,0.0,25.0,,6854.0
476,1.0,35.0,6.0,77083.0
477,1.0,35.0,7.0,22043.0
478,1.0,,4.0,21093.0
479,1.0,35.0,7.0,52003.0
480,1.0,56.0,1.0,44256.0
481,1.0,35.0,13.0,76548.0
482,1.0,18.0,4.0,52003.0
483,1.0,45.0,0.0,92108.0
484,0.0,25.0,4.0,53951.0
485,0.0,25.0,4.0,22902.0
486,1.0,,,11211.0
487,1.0,25.0,12.0,17067.0
488,1.0,,6.0,90640.0
489,1.0,25.0,12.0,55124.0
490,1.0,18.0,4.0,82072.0
491,1.0,35.0,20.0,94122.0
492,1.0,50.0,,75650.0
493,1.0,25.0,14.0,7430.0
494,1.0,25.0,7.0,63303.0
495,1.0,45.0,17.0,2421.0
496,0.0,35.0,14.0,92673.0
497,1.0,18.0,6.0,5273.0
498,1.0,25.0,5.0,60466.0
499,1.0,25.0,7.0,85037.0
500,1.0,18.0,4.0,48073.0
501,0.0,,1.0,1609.0
502,,18.0,,48126.0
503,1.0,18.0,7.0,2215.0
504,1.0,1.0,10.0,7960.0
505,1.0,35.0,17.0,48146.0
506,1.0,45.0,1.0,37027.0
507,1.0,1.0,0.0,77479.0
508,1.0,25.0,2.0,11106.0
509,1.0,56.0,6.0,19027.0
510,1.0,25.0,,60615.0
511,1.0,35.0,16.0,85730.0
512,1.0,18.0,17.0,22043.0
513,1.0,25.0,3.0,19806.0
514,1.0,18.0,4.0,81520.0
515,1.0,25.0,4.0,68108.0
516,1.0,25.0,17.0,19126.0
517,1.0,18.0,19.0,29307.0
518,1.0,35.0,7.0,95008.0
519,0.0,56.0,,55033.0
520,1.0,18.0,4.0,60107.0
521,1.0,18.0,17.0,32694.0
522,1.0,35.0,6.0,78746.0
523,,18.0,4.0,10013.0
524,1.0,25.0,1.0,28607.0
525,0.0,25.0,14.0,
526,1.0,1.0,10.0,93111.0
527,1.0,18.0,,80205.0
528,1.0,18.0,18.0,55113.0
529,1.0,25.0,0.0,98503.0
530,1.0,56.0,1.0,28223.0
531,1.0,35.0,7.0,38024.0
532,1.0,25.0,17.0,55125.0
533,1.0,18.0,4.0,
534,1.0,45.0,17.0,73069.0
535,0.0,,20.0,37919.0
536,0.0,1.0,10.0,13090.0
537,1.0,25.0,17.0,57006.0
538,1.0,45.0,17.0,91355.0
539,0.0,25.0,1.0,14607.0
540,1.0,,15.0,60004.0
541,1.0,35.0,12.0,75069.0
542,0.0,50.0,,95014.0
543,0.0,35.0,2.0,60201.0
544,0.0,25.0,,28401.0
545,1.0,56.0,15.0,79068.0
546,1.0,50.0,0.0,
547,0.0,25.0,0.0,92870.0
548,1.0,35.0,18.0,56303.0
549,1.0,50.0,16.0,98103.0
550,1.0,,7.0,10009.0
551,1.0,25.0,7.0,
552,0.0,45.0,0.0,94115.0
553,,56.0,14.0,1545.0
554,0.0,25.0,15.0,94901.0
555,1.0,45.0,1.0,2482.0
556,1.0,25.0,20.0,91367.0
557,1.0,35.0,14.0,94530.0
558,0.0,18.0,19.0,95019.0
559,1.0,25.0,2.0,17003.0
560,1.0,1.0,10.0,21030.0
561,1.0,35.0,5.0,4901.0
562,1.0,18.0,2.0,12345.0
563,1.0,25.0,15.0,
564,0.0,,2.0,99701.0
565,0.0,25.0,0.0,13326.0
566,0.0,1.0,10.0,47403.0
567,0.0,,20.0,76205.0
568,1.0,35.0,17.0,95014.0
569,1.0,,11.0,46802.0
570,1.0,,4.0,2454.0
571,1.0,25.0,16.0,20007.0
572,1.0,35.0,20.0,55116.0
573,,35.0,,90034.0
574,1.0,25.0,7.0,32835.0
575,0.0,45.0,7.0,60605.0
576,1.0,50.0,20.0,92106.0
577,1.0,,,32043.0
578,0.0,1.0,10.0,94539.0
579,1.0,25.0,17.0,54915.0
580,1.0,25.0,15.0,94040.0
581,1.0,,14.0,2632.0
582,0.0,56.0,1.0,
583,,25.0,12.0,
584,1.0,35.0,12.0,94402.0
585,1.0,18.0,4.0,60637.0
586,1.0,35.0,14.0,55418.0
587,1.0,,13.0,32837.0
588,1.0,25.0,0.0,55812.0
589,1.0,25.0,14.0,6405.0
590,1.0,35.0,12.0,78230.0
591,1.0,25.0,7.0,89117.0
592,1.0,35.0,7.0,40601.0
593,0.0,56.0,,55305.0
594,1.0,25.0,20.0,15701.0
595,1.0,25.0,7.0,47714.0
596,1.0,25.0,11.0,7039.0
597,1.0,25.0,17.0,28804.0
598,1.0,,19.0,94111.0
599,1.0,18.0,20.0,61801.0
600,1.0,18.0,4.0,
601,1.0,,12.0,98006.0
602,1.0,50.0,12.0,90254.0
603,0.0,45.0,1.0,18042.0
604,1.0,35.0,0.0,63366.0
605,0.0,35.0,17.0,94306.0
606,1.0,50.0,13.0,60622.0
607,,25.0,7.0,94109.0
608,1.0,1.0,0.0,75070.0
609,0.0,25.0,,22207.0
610,1.0,50.0,6.0,11510.0
611,1.0,25.0,17.0,55105.0
612,0.0,50.0,16.0,92026.0
613,1.0,45.0,12.0,94114.0
614,1.0,25.0,,22903.0
615,0.0,56.0,,95005.0
616,1.0,35.0,1.0,48103.0
617,1.0,35.0,7.0,10625.0
618,1.0,,4.0,48135.0
619,1.0,50.0,1.0,95070.0
620,1.0,25.0,5.0,55405.0
621,0.0,25.0,17.0,1453.0
622,1.0,25.0,8.0,50309.0
623,0.0,25.0,0.0,78240.0
624,,,12.0,17013.0
625,1.0,25.0,12.0,90240.0
626,1.0,,4.0,14607.0
627,1.0,25.0,5.0,85281.0
628,1.0,25.0,4.0,
629,1.0,35.0,18.0,55434.0
630,1.0,35.0,20.0,60640.0
631,1.0,35.0,11.0,95405.0
632,1.0,25.0,14.0,95820.0
633,0.0,25.0,7.0,2494.0
634,,,,78664.0
635,0.0,25.0,,75070.0
636,1.0,25.0,15.0,94903.0
637,0.0,18.0,4.0,19803.0
638,1.0,,13.0,49423.0
639,0.0,25.0,2.0,94577.0
640,1.0,25.0,16.0,22207.0
641,1.0,25.0,16.0,91402.0
642,1.0,35.0,7.0,19518.0
643,1.0,25.0,17.0,94063.0
644,1.0,56.0,13.0,76051.0
645,1.0,,2.0,78006.0
646,1.0,35.0,99.0,94804.0
647,1.0,25.0,15.0,90034.0
648,0.0,50.0,3.0,95451.0
649,,25.0,12.0,44060.0
650,1.0,35.0,14.0,55330.0
651,0.0,1.0,10.0,49532.0
652,1.0,18.0,5.0,48185.0
653,1.0,25.0,12.0,
654,1.0,18.0,4.0,2453.0
655,1.0,25.0,16.0,97378.0
656,0.0,35.0,16.0,
657,1.0,35.0,,77005.0
658,0.0,18.0,1.0,94606.0
659,1.0,35.0,0.0,79606.0
660,1.0,,17.0,90620.0
661,1.0,18.0,4.0,10128.0
662,1.0,,12.0,44312.0
663,1.0,,7.0,22904.0
664,0.0,50.0,5.0,60714.0
665,0.0,25.0,14.0,78232.0
666,1.0,35.0,7.0,20200.0
667,1.0,25.0,4.0,11423.0
668,1.0,35.0,7.0,94806.0
669,1.0,25.0,17.0,27613.0
670,0.0,56.0,,93105.0
671,1.0,18.0,12.0,
672,1.0,,0.0,
673,0.0,25.0,7.0,3862.0
674,0.0,25.0,1.0,83705.0
675,0.0,,4.0,84321.0
676,0.0,25.0,14.0,60647.0
677,1.0,25.0,17.0,20910.0
678,0.0,56.0,0.0,92027.0
679,1.0,,1.0,16508.0
680,0.0,18.0,4.0,2138.0
681,0.0,,4.0,92507.0
682,1.0,25.0,20.0,87103.0
683,0.0,1.0,,77515.0
684,0.0,,,
685,0.0,25.0,4.0,22903.0
686,0.0,25.0,5.0,10021.0
687,0.0,45.0,13.0,37922.0
688,1.0,,7.0,44115.0
689,1.0,,0.0,
690,1.0,25.0,,45014.0
691,1.0,1.0,10.0,37830.0
692,1.0,35.0,7.0,2657.0
693,1.0,,2.0,94404.0
694,0.0,1.0,0.0,90012.0
695,0.0,18.0,0.0,55102.0
696,1.0,18.0,7.0,10014.0
697,1.0,35.0,20.0,91505.0
698,1.0,25.0,20.0,90027.0
699,0.0,18.0,,19102.0
700,1.0,18.0,12.0,53188.0
701,0.0,25.0,4.0,95616.0
702,0.0,35.0,7.0,60137.0
703,1.0,25.0,8.0,22046.0
704,0.0,25.0,1.0,1060.0
705,1.0,18.0,4.0,94133.0
706,1.0,25.0,4.0,90048.0
707,0.0,25.0,0.0,4473.0
708,0.0,18.0,4.0,10033.0
709,1.0,25.0,14.0,95821.0
710,1.0,25.0,0.0,8461.0
711,1.0,35.0,20.0,60640.0
712,1.0,25.0,4.0,22901.0
713,1.0,18.0,4.0,3106.0
714,0.0,45.0,17.0,78722.0
715,1.0,56.0,13.0,30047.0
716,1.0,18.0,5.0,
717,0.0,35.0,7.0,55021.0
718,1.0,25.0,16.0,22112.0
719,1.0,35.0,7.0,98467.0
720,1.0,18.0,4.0,44646.0
721,1.0,25.0,5.0,
722,1.0,35.0,5.0,41144.0
723,1.0,18.0,4.0,
724,0.0,56.0,12.0,1520.0
725,1.0,,0.0,94952.0
726,0.0,18.0,4.0,10039.0
727,0.0,,1.0,
728,1.0,50.0,0.0,91505.0
729,1.0,,,50317.0
730,1.0,25.0,0.0,
731,1.0,35.0,19.0,20871.0
732,1.0,45.0,11.0,90046.0
733,0.0,25.0,11.0,97370.0
734,0.0,35.0,,99801.0
735,1.0,,20.0,85207.0
736,1.0,25.0,17.0,22041.0
737,1.0,25.0,7.0,92123.0
738,0.0,35.0,2.0,27514.0
739,0.0,,12.0,90640.0
740,1.0,18.0,20.0,2601.0
741,1.0,25.0,2.0,33334.0
742,0.0,1.0,10.0,1915.0
743,1.0,18.0,12.0,95120.0
744,0.0,45.0,3.0,38028.0
745,1.0,35.0,7.0,2370.0
746,1.0,25.0,0.0,85024.0
747,1.0,,4.0,
748,0.0,25.0,14.0,94010.0
749,1.0,18.0,12.0,55405.0
750,1.0,25.0,15.0,10461.0
751,0.0,18.0,14.0,64060.0
752,0.0,,17.0,94618.0
753,1.0,25.0,12.0,97330.0
754,1.0,18.0,,57382.0
755,1.0,35.0,15.0,2871.0
756,0.0,25.0,20.0,90046.0
757,0.0,45.0,7.0,41722.0
758,1.0,18.0,14.0,60073.0
759,1.0,18.0,4.0,26201.0
760,0.0,25.0,7.0,10016.0
761,0.0,35.0,1.0,19348.0
762,1.0,18.0,,20037.0
763,0.0,,1.0,94578.0
764,1.0,35.0,0.0,90254.0
765,0.0,56.0,6.0,91941.0
766,0.0,56.0,16.0,90039.0
767,1.0,25.0,7.0,15209.0
768,0.0,45.0,15.0,20910.0
769,1.0,18.0,4.0,63108.0
770,0.0,35.0,20.0,78006.0
771,1.0,18.0,4.0,7030.0
772,0.0,35.0,3.0,
773,0.0,25.0,20.0,94591.0
774,0.0,,1.0,
775,1.0,25.0,16.0,48309.0
776,1.0,50.0,17.0,32951.0
777,1.0,18.0,12.0,90250.0
778,1.0,50.0,1.0,60062.0
779,1.0,50.0,1.0,55126.0
780,1.0,18.0,4.0,68144.0
781,1.0,56.0,13.0,40511.0
782,1.0,,7.0,23423.0
